STATE,StringencyIndex,GovernmentResponseIndex,DEATHS_PER_1M_2FEB2022,TESTS_PER_1M_2FEB2022,CASES_PER_1M_2FEB2022,CONFIRMED_CASES_2FEB2022,POP,People_Homelessness,People_Homelessness_PCT_POP,PEOPLE_SERVED_PER_Rural_Health_Clinics,PEOPLE_SERVED_PER_Primary_Care_Physician,PEOPLE_SERVED_PER_Specialist_Physician,PEOPLE_SERVED_PER_PHYSICIAN,TRUMP_PCT_2020,Employer_INSURANCE,NonGroup_INSURANCE,Medicaid_INSURANCE,Medicare_INSURANCE,Military_INSURANCE,Uninsured,Uninsured_BELOW_100_PL,PL_Under_100,PL_100_199,PL_200_399,PL_400,Children_0_18,Adults_19_25,Adults_26_34,Adults_35_54,Adults_55_64,Adults_65_PLUS,Unemployed,PREEXISTING_All_Nonelderly_Adults,PREEXISTING_Adults_Ages_18_34,PREEXISTING_Adults_Ages_35_44,PREEXISTING_Adults_Ages_45_54,PREEXISTING_Adults_Ages_55_64,SMOKING_ADULTS_PCT,Cancer_Incidence_PER_ 1M,DIABETIES_PCT,Pre_Diabetes_PCT,Adults_CARDIO_DISEASE_PCT,HYPERTENSION_PCT,OBESITY_ADULTS_PCT,LUNG_DISEASE_Adults_PCT,ASTHMA_Adults_PCT,PHYSICAL_ACTIVITY_Adults_PCT,White_PCT,Black_PCT,Hispanic_PCT,Asian_PCT,NATIVE_AMERICAN_PCT,Multiple_RACE_PCT,NO_DOCTOR_VISIT_PAST_12MO_ADULTS,NO_DOCTOR_VISIT_PAST_12MO_White,NO_DOCTOR_VISIT_PAST_12MO_Black,NO_DOCTOR_VISIT_PAST_12MO_Hispanic,HOSP_BED_STATE_LOCAL_PER_1K,HOSP_BED_NON_PROFIT_PER_1K,HOSP_BED_FOR_PROFIT_PER_1K,HOSP_BED_Total_PER_1K,ICU_BEDS_PER_10K,Licensed_Nurse_Hours_AVG_HOURS_PER_RESIDENT_DAY,Total_Nursing_Staff_Hours_AVG_PER_RESIDENT_DAY,PEOPLE_SERVED_NURSE_PRACTITIONERS,Critical_Care_Physicians_PER_10K,Critical_Care_Nurses_PER_10K,SECOND_LINE_Critical_Care_Physicians_PER_10K,PCT_VACCINATED_COVID_4FEB2022,UMEMP_MAR2020,UNEMP_DEC2020,CHANGE_UNEMP_MAR2020_DEC2020,CHANGE_UNEMP_MAR2020_DEC2021
Alabama ,25.78345598,34.81980289,3511,1428401,250715,1229300,4903177,3351,683.43,36319.82899,829.5004084,728.3388167,387.8175207,0.62,0.488,0.028,0.185,0.174,,0.089,0.211,0.151,0.181,0.307,0.361,0.237,0.087,0.115,0.251,0.135,0.175,0.031,0.33,0.21,0.27,0.38,0.56,0.159,458.5,0.167,0.018,0.101,0.425,0.387,0.099,0.089,0.715,0.654,0.265,0.044,0.014,0.004,0.019,0.112,0.094,0.153,0.135,1.42,0.81,0.87,3.11,3.9,1.5,3.9,1043.673265,0.41,5.07,3.48,49.6,2.6,4.7,2.1,0.5
Alaska ,41.42466579,45.17338139,1449,5383982,291993,213606,731545,1949,2664.22,0,678.6131116,878.2052032,382.8073963,0.53,0.399,0.031,0.22,0.128,0.096,0.126,0.126,0.136,0.149,0.277,0.438,0.259,0.093,0.139,0.246,0.132,0.13,0.06,0.26,0.19,0.22,0.32,0.38,0.165,412.9,0.09,0.029,0.061,0.328,0.32,0.046,0.091,0.798,0.6,0.022,0.07,0.06,0.151,0.083,0.102,0.096,0.127,0.167,0.29,1.55,0.36,2.2,1.8,2.7,7,856.6100703,0.51,2.54,4.37,59.8,5.1,6.5,1.4,0.9
Arizona ,26.77589777,37.84412844,3623,2412614,259186,1886541,7278715,10979,1508.37,196722.0243,830.8086862,734.6300868,389.88242,0.49,0.449,0.041,0.205,0.168,0.029,0.108,0.179,0.11,0.188,0.297,0.405,0.24,0.093,0.121,0.241,0.124,0.182,0.047,0.28,0.19,0.25,0.34,0.41,0.127,386.8,0.121,0.025,0.075,0.325,0.301,0.067,0.101,0.78,0.542,0.043,0.318,0.033,0.039,0.024,0.106,0.081,0.125,0.176,0.11,1.36,0.47,1.93,2.5,1.8,4.2,2057.878145,0.56,1.46,5.23,59,5,6.8,1.8,-0.3
Arkansas ,28.37571429,38.89266055,3211,2123267,260456,786010,3017823,2366,784.01,27434.7508,827.2539989,749.5833552,393.2528783,0.62,0.408,0.078,0.231,0.18,0.018,0.085,0.141,0.142,0.192,0.34,0.326,0.247,0.087,0.115,0.248,0.131,0.173,0.034,0.34,0.21,0.34,0.41,0.52,0.187,485.3,0.156,0.012,0.116,0.41,0.357,0.105,0.094,0.696,0.721,0.152,0.078,0.016,0.006,0.024,0.108,0.091,0.162,0.282,0.26,2.14,0.63,3.03,2.9,1.4,4.1,1015.760013,0.29,3.19,3.58,52.9,3.9,4.9,1,-0.5
California ,45.55431788,55.93700662,2044,3491406,207042,8180694,39512244,161548,4088.56,149667.5905,720.7107087,637.1401095,338.1768407,0.34,0.485,0.065,0.234,0.125,0.018,0.073,0.13,0.111,0.161,0.274,0.453,0.237,0.092,0.137,0.263,0.123,0.149,0.069,0.25,0.17,0.21,0.3,0.4,0.083,406.8,0.099,0.032,0.057,0.278,0.29,0.044,0.095,0.803,0.364,0.053,0.395,0.147,0.004,0.033,0.088,0.064,0.067,0.134,0.33,1.21,0.32,1.85,2.1,1.8,4.4,1606.645956,0.63,0.89,4.43,69.3,4.5,9.3,4.8,2.4
Colorado ,35.64708661,43.54281081,2026,2779312,218964,1260954,5758727,9846,1709.75,94405.36823,769.266292,753.9575101,380.7674863,0.42,0.502,0.058,0.166,0.129,0.042,0.104,0.138,0.095,0.124,0.263,0.518,0.231,0.089,0.141,0.265,0.126,0.148,0.051,0.22,0.15,0.21,0.25,0.34,0.117,408.1,0.088,0.023,0.056,0.258,0.239,0.045,0.096,0.836,0.678,0.038,0.218,0.032,0.005,0.028,0.095,0.077,0.117,0.163,0.38,1.1,0.38,1.85,3.2,1.6,3.9,1169.759699,0.75,1.77,5.18,68.4,4.7,6.9,2.2,0.4
Connecticut ,38.92814717,49.43850197,2779,4084929,197018,702426,3565288,2905,814.8,0,498.8510495,377.8790091,215.0095556,0.39,0.497,0.052,0.236,0.162,,0.048,0.101,0.112,0.116,0.26,0.513,0.217,0.086,0.113,0.259,0.148,0.177,0.06,0.24,0.15,0.2,0.27,0.38,0.108,486.8,0.108,0.017,0.069,0.309,0.285,0.052,0.106,0.8,0.657,0.1,0.169,0.046,0.002,0.026,0.068,0.051,0.081,0.151,0.05,1.93,0,2.03,2.1,1.5,3.7,704.7416485,0.98,2.66,6.08,76.8,3.8,8.2,4.4,2.2
Delaware ,38.58194481,48.23458607,2621,1013851,255616,248910,973765,1165,1196.39,0,610.1286563,571.4585302,295.0804047,0.4,0.501,0.027,0.181,0.189,0.02,0.084,0.134,0.106,0.186,0.257,0.45,0.218,0.081,0.118,0.242,0.144,0.197,0.051,0.28,0.16,0.25,0.34,0.44,0.137,460,0.139,0.017,0.083,0.364,0.358,0.085,0.103,0.746,0.614,0.218,0.097,0.039,0.003,0.028,0.091,0.061,0.116,0.214,0,2.13,0.04,2.17,2.7,2.1,4.6,1405.1443,1.99,2.18,8.78,66.5,4.8,5.9,1.1,0.3
DC ,43.34235217,49.48678055,1828,4150457,185750,131093,705750,6380,9040.03,0,216.2885883,151.9702118,89.25631257,0.05,0.58,0.041,0.229,0.098,,0.033,0.061,0.167,0.104,0.178,0.551,0.195,0.09,0.216,0.269,0.103,0.127,0.06,0.23,0.15,0.2,0.31,0.46,0.106,450.8,0.091,0.029,0.049,0.272,0.24,0.045,0.102,0.834,0.367,0.45,0.112,0.037,0.003,0.031,0.061,0.037,0.075,0.106,0,3.53,0.98,4.51,6,2.3,5.1,1504.797441,0.61,4.99,4.93,70.3,5.2,8.8,3.6,0.8
Florida ,29.0195138,36.19500657,3039,2410160,261710,5620938,21477735,27487,1279.79,133402.0801,762.2976006,671.3470523,356.9686854,0.51,0.395,0.104,0.15,0.197,0.03,0.123,0.26,0.134,0.191,0.303,0.373,0.209,0.08,0.114,0.249,0.137,0.211,0.045,0.28,0.18,0.25,0.32,0.45,0.134,440.1,0.13,0.022,0.09,0.335,0.279,0.077,0.074,0.744,0.53,0.15,0.266,0.027,0.002,0.024,0.124,0.094,0.177,0.169,0.41,1.34,0.85,2.59,3,1.6,4.3,723.8384672,0.63,3.17,4.14,65.2,4.9,5.1,0.2,-0.4
